Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/19/2024,09/20/2024,ISLAND GRINDS - NZ0,Food & Drink,Sale,-19.32,
09/18/2024,09/19/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-29.94,
09/18/2024,09/19/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-6.06,
09/17/2024,09/17/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,620.21,
09/16/2024,09/17/2024,McDonalds 20759,Food & Drink,Sale,-13.77,
09/16/2024,09/17/2024,DIGBY'S MARKET,Groceries,Sale,-21.97,
09/14/2024,09/16/2024,McDonalds 2929,Food & Drink,Sale,-5.39,
09/15/2024,09/16/2024,LS IBB CYCLERY &amp; MULTI,Shopping,Sale,-23.49,
09/12/2024,09/15/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-16.19,
09/13/2024,09/15/2024,DIGBY'S MARKET,Groceries,Sale,-24.67,
09/13/2024,09/15/2024,LOWES #01118*,Home,Sale,-19.19,
09/13/2024,09/15/2024,ROSS STORES #616,Shopping,Sale,-37.34,
09/13/2024,09/15/2024,TARGET        00013573,Shopping,Sale,-18.66,
09/13/2024,09/15/2024,Dicks Sporting Goods,Shopping,Sale,-32.01,
09/13/2024,09/15/2024,GOLDEN CORRAL 2496,Food & Drink,Sale,-17.22,
09/11/2024,09/12/2024,DIGBY'S MARKET,Groceries,Sale,-11.09,
09/11/2024,09/11/2024,Payment Thank You-Mobile,,Payment,1120.40,
09/10/2024,09/11/2024,D.U.B.'S BBQ,Food & Drink,Sale,-23.98,
09/09/2024,09/10/2024,CHEVRON 0385252,Gas,Sale,-32.75,
09/09/2024,09/10/2024,JACK IN THE BOX 5478,Food & Drink,Sale,-13.58,
09/09/2024,09/10/2024,TN SERV FEE DIXIE STATE U,Education,Sale,-7.38,
09/09/2024,09/10/2024,DIGBY'S MARKET,Groceries,Sale,-33.07,
09/09/2024,09/10/2024,LS IBB CYCLERY &amp; MULTI,Shopping,Sale,-16.43,
09/09/2024,09/10/2024,COSTCO WHSE #0672,Shopping,Sale,-66.25,
09/09/2024,09/10/2024,ARCO #42534 AMPM,Gas,Sale,-28.71,
09/09/2024,09/10/2024,Amazon Prime*ZT1K537H1,Bills & Utilities,Sale,-16.45,
09/09/2024,09/10/2024,COSTCO WHSE #0672,Shopping,Sale,-8.58,
09/07/2024,09/09/2024,RITE AID 05658,Health & Wellness,Sale,-6.58,
