Transaction Date,Description,Category,Type,Amount
8/15/2024,BURGER KING #4447,Food & Drink,Sale,-17.55
8/15/2024,GRUBHUBKFC,Food & Drink,Sale,-35.65
8/15/2024,Payment Thank You-Mobile,,Payment,1276.18
8/12/2024,7-ELEVEN 16346,Gas,Sale,-7.68
8/12/2024,TACO BELL 30740,Food & Drink,Sale,-25.76
8/12/2024,LYFT   *2 RIDES 08-11,Travel,Sale,-63.48
8/12/2024,HERNANDEZ MARKET #2,Groceries,Sale,-21.54
8/12/2024,TST* SAN PEDRO MARKET,Food & Drink,Sale,-19.91
8/11/2024,PAYPAL *DOMINO'S 7992,Food & Drink,Sale,-26.31
8/11/2024,McDonalds 778,Food & Drink,Sale,-11.12
8/12/2024,Subway 14313,Food & Drink,Sale,-8.73
8/9/2024,SAFEWAY #2607,Groceries,Sale,-42.24
8/10/2024,PP*CAVIAR JACKSHAMBUR,Food & Drink,Sale,-14.43
8/10/2024,DE LA HACIENDA TAQUERIA,Food & Drink,Sale,-13.99
8/9/2024,Amazon Prime*RM4DF7Z01,Bills & Utilities,Sale,-16.45
8/7/2024,7-ELEVEN 16346,Gas,Sale,-11.08
8/7/2024,BURGER KING #4447,Food & Drink,Sale,-8.78
8/5/2024,LYFT   *1 RIDE 08-04,Travel,Sale,-9.82
8/4/2024,THE LOCAL SHOPPE,Gas,Sale,-30.98
8/5/2024,McDonalds 778,Food & Drink,Sale,-9.99
8/4/2024,LYFT   *1 RIDE 08-03,Travel,Sale,-9.99
8/3/2024,SAFEWAY #2607,Groceries,Sale,-30.79
8/4/2024,TST*THE BAGELRY - CEDAR,Food & Drink,Sale,-3.6
8/4/2024,ENTERPRISE RENT-A-CAR,Travel,Sale,-66.56
8/2/2024,SAFEWAY #2607,Groceries,Sale,-73.09
8/2/2024,McDonalds 778,Food & Drink,Sale,-6.83
7/30/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99
8/3/2024,BURGER KING #4447,Food & Drink,Sale,-7.67
8/2/2024,HERNANDEZ MARKET #2,Groceries,Sale,-10.69
7/30/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99
7/31/2024,HERNANDEZ MARKET #2,Groceries,Sale,-10.28
7/29/2024,WESTSIDE HARDWARE,Home,Sale,-31.82
7/28/2024,FRESH ATTRACTIONS A#2,Food & Drink,Sale,-4.65
7/29/2024,WINGSTOP 570,Food & Drink,Sale,-24.22
7/30/2024,Southwest Skin and Can,Health & Wellness,Sale,-8.01
7/29/2024,7-ELEVEN 16346,Gas,Sale,-7.78
7/28/2024,McDonalds 778,Food & Drink,Sale,-11.34
7/29/2024,Subway 14313,Food & Drink,Sale,-10.58
7/25/2024,BOMBAY CAFE,Food & Drink,Sale,-51.97
7/27/2024,GOLDEN CORRAL 2496,Food & Drink,Sale,-14
7/27/2024,SALT LAKE EXPRESS,Travel,Sale,-49.34
