TransactionDate,Description,Category,Type,Amount
08/16/2023,AMZN Mktp US,Shopping,Return,26.21
08/15/2023,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-174.39
08/15/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99
08/12/2023,SAFEWAY #2607,Groceries,Sale,-10.27
08/12/2023,McDonalds 778,Food & Drink,Sale,-10.77
08/12/2023,AMZN Mktp US,Shopping,Return,7.63
08/11/2023,RITE AID 05979,Health & Wellness,Sale,-70.98
08/13/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0
08/11/2023,SAFEWAY #2607,Groceries,Sale,-22.35
08/12/2023,BURGER KING #4447,Food & Drink,Sale,-11.12
08/10/2023,7-ELEVEN 16346,Gas,Sale,-3.9
08/11/2023,AMZN Mktp US,Shopping,Return,196.64
08/09/2023,AMZN Mktp US*TA6EM3BX1,Shopping,Sale,-16.33
08/09/2023,Amazon Prime*TA50Z86C0,Bills & Utilities,Sale,-16.38
08/08/2023,Amazon.com*TA0CC9212,Shopping,Sale,-25.62
08/08/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-49.99
08/08/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,480.85
08/07/2023,RITE AID 05979,Health & Wellness,Sale,-15.28
08/07/2023,KATRINA 1 INC,Food & Drink,Sale,-12.54
08/05/2023,LITTLE CAESARS 1212 0003,Food & Drink,Sale,-17.19
08/06/2023,AMZN Mktp US*TA6IY15E2,Shopping,Sale,-16.38
08/06/2023,AMZN Mktp US*TA9KI73Y1,Shopping,Sale,-18.67
08/05/2023,McDonalds 778,Food & Drink,Sale,-6.21
08/04/2023,SAFEWAY #2607,Groceries,Sale,-43.76
08/05/2023,McDonalds 778,Food & Drink,Sale,-2.18
08/03/2023,AMZN Mktp US*TA3G334D2,Shopping,Sale,-22.99
08/02/2023,7-ELEVEN 14279,Gas,Sale,-13.1
08/02/2023,LYFT   *1 RIDE 08-01,Travel,Sale,-63.15
08/01/2023,ST GEORGE  SHUTTLE,Travel,Sale,-50.9
08/02/2023,McDonalds 778,Food & Drink,Sale,-6.41
08/02/2023,CVS/PHARMACY #09332,Health & Wellness,Sale,-7.17
08/01/2023,SPIRIT AIRL 4870358072760,Travel,Sale,-79.0
07/30/2023,Amazon.com*TH2OB0P42,Shopping,Sale,-106.74
07/31/2023,AMZN Mktp US*TH9JQ7VJ2,Shopping,Sale,-222.85
07/28/2023,The Adobe Icebox,Food & Drink,Sale,-7.75
07/30/2023,WINGSTOP 2205 OLO,Food & Drink,Sale,-26.5
07/24/2023,SPIRIT AIRL 4870357014419,Travel,Sale,-129.89
07/24/2023,FAMILY DOLLAR #11372,Shopping,Sale,-11.92
07/25/2023,TEALHQ,Shopping,Sale,-9.0
07/26/2023,SQ *PLAZA ICE CREAM,Food & Drink,Sale,-10.0
07/25/2023,AMZN Mktp US*T66K51XE1,Shopping,Sale,-15.26
07/24/2023,RED MOUNTAIN MARKET,Groceries,Sale,-3.27
07/24/2023,McDonalds 2929,Food & Drink,Sale,-10.96
07/23/2023,U-HAULSO UTAH AUTO TECH,Automotive,Sale,-21.35
07/24/2023,APPLE.COM/BILL,Shopping,Sale,-2.99
07/23/2023,FFNHELP.COM AFF,Personal,Sale,-27.95
07/23/2023,ROSS STORES #616,Shopping,Sale,-99.72
05/15/2023,REBILL-AMZN MKTP US*IA37R,Shopping,Adjustment,-13.23
07/23/2023,AMZN Mktp US*AI7NS32H3,Shopping,Sale,-90.73
07/23/2023,AMZN Mktp US*BN21F7N03,Shopping,Sale,-8.53
07/23/2023,ROCKY VISTA UNIVERSITY,Education,Sale,-6954.0
07/23/2023,TARGET        00013573,Shopping,Sale,-26.68
07/22/2023,WENDY'S # 5603,Food & Drink,Sale,-15.07
07/23/2023,TARGET        00013573,Shopping,Sale,-18.87
07/21/2023,SWITCHPOINT CRC,Shopping,Sale,-5.0
07/23/2023,Amazon.com*L39L62763,Shopping,Sale,-5.64
07/21/2023,TARGET        00013573,Shopping,Sale,-15.28
07/20/2023,7-ELEVEN 26701,Gas,Sale,-98.9
07/21/2023,DOLLAR TREE,Shopping,Sale,-27.65
07/22/2023,COSTCO WHSE #0672,Shopping,Sale,-391.04
07/20/2023,CARLS JR 325 OLO,Food & Drink,Sale,-3.9
07/22/2023,AMZN Mktp US*PG99733U3,Shopping,Sale,-63.15
07/20/2023,PAYPAL *EBAY US,Shopping,Sale,-64.05
07/20/2023,GOLDEN CORRAL 2496,Food & Drink,Sale,-10.0
07/20/2023,GOLDEN CORRAL 2496,Food & Drink,Sale,-43.06
07/19/2023,COSTCO WHSE #0149,Shopping,Sale,-82.85
07/20/2023,AMZN Mktp US,Shopping,Return,198.82
07/19/2023,WESTSIDE HARDWARE,Home,Sale,-10.48
07/18/2023,U-HAULSANTA CRUZ SHORT ST,Automotive,Sale,-731.18
07/18/2023,BURGER KING #4447,Food & Drink,Sale,-8.73
07/19/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-76.0
07/18/2023,SANTA CRUZ BCYCLE,Shopping,Sale,-7.0
07/17/2023,COMMONS EAST CAFE,Food & Drink,Sale,-11.99
07/17/2023,Q POT,Food & Drink,Sale,-56.02
07/15/2023,SAFEWAY #2607,Groceries,Sale,-39.33
07/16/2023,SANTA CRUZ BCYCLE,Shopping,Sale,-7.0
07/16/2023,SANTA CRUZ GROCERY,Groceries,Sale,-71.89
07/15/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99
07/14/2023,BEST LOCKERS-CGA,Personal,Sale,-25.0
07/14/2023,McDonalds 778,Food & Drink,Sale,-4.69
07/14/2023,POINTS RAPID REWARDS,Personal,Sale,-120.0
07/14/2023,McDonalds 778,Food & Drink,Sale,-3.49
07/15/2023,SQ *CAFE ROXA APOTHECARY,Food & Drink,Sale,-19.64
07/16/2023,BURGER KING #4447,Food & Drink,Sale,-13.09
07/15/2023,BURGER KING #4447,Food & Drink,Sale,-7.42
07/15/2023,DT PAY BY SPACE,Travel,Sale,-4.0
07/14/2023,SAFEWAY #1526,Groceries,Sale,-48.53
07/15/2023,IN N OUT BURGER 176,Food & Drink,Sale,-15.06
07/13/2023,SPIRIT AIRL 4870355638526,Travel,Sale,-496.56
07/14/2023,PAYPAL *CALIFORNIAS CALIF,Entertainment,Sale,-84.65
07/15/2023,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-152.89
07/12/2023,ORENCHI,Food & Drink,Sale,-47.0
07/13/2023,FRONTIER AI SII9QX,Travel,Sale,-129.96
07/13/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0
07/09/2023,BOARDWALK BW GRILLE,Food & Drink,Sale,-11.46
07/10/2023,ROCKY VISTA UNIVERSITY,Education,Sale,-10000.0
07/09/2023,BOARDWALK CRUZIN CREPES,Food & Drink,Sale,-12.51
07/09/2023,McDonalds 778,Food & Drink,Sale,-9.81
07/08/2023,MARINIS CANDIES ON THE WH,Food & Drink,Sale,-15.64
07/09/2023,Amazon Prime*L07A32DN3,Bills & Utilities,Sale,-16.38
07/09/2023,PETSMART # 0073,Shopping,Sale,-19.11
07/08/2023,McDonalds 778,Food & Drink,Sale,-7.84
07/07/2023,COSTCO WHSE #0149,Shopping,Sale,-110.9
07/07/2023,COSTCO WHSE #0149,Shopping,Sale,-7.33
07/08/2023,ROCKY VISTA UNIVERSITY,Education,Sale,-10000.0
07/07/2023,SAFEWAY #2607,Groceries,Sale,-33.59
07/07/2023,WESTSIDE HARDWARE,Home,Return,19.65
07/06/2023,SANTA CRUZ GROCERY,Groceries,Sale,-6.96
07/04/2023,SAFEWAY #2607,Groceries,Sale,-32.96
07/05/2023,BOARDWALK CRUZIN CREPES,Food & Drink,Sale,-15.68
